,id,title,author,authoryearofbirth,authoryearofdeath,gr_pubDate,date,age,yearsToDeath
0,4340.0,The British Barbarians,"Allen, Grant",1848,1899,1895--,1895,47,4
1,4396.0,The Woman Who Did,"Allen, Grant",1848,1899,1895--,1895,47,4
5,5869.0,Michael's Crag,"Allen, Grant",1848,1899,1893--,1893,45,6
6,6010.0,What's Bred in the Bone,"Allen, Grant",1848,1899,1891--,1891,43,8
7,6060.0,Philistia,"Allen, Grant",1848,1899,1884--,1884,36,15
8,13876.0,The Great Taboo,"Allen, Grant",1848,1899,1891--,1891,43,8
9,18788.0,Post-Prandial Philosophy,"Allen, Grant",1848,1899,1894--,1894,46,5
10,30970.0,Miss Cayley's Adventures,"Allen, Grant",1848,1899,1899--,1899,51,0
13,43688.0,"Wednesday the Tenth, A Tale of the South Pacific","Allen, Grant",1848,1899,1890--,1890,42,9
0,14005.0,The Ladies Delight,Anonymous,,,1732--,1732,,
1,15883.0,The London-Bawd: With Her Character and Life: Discovering the Various and Subtle Intrigues of Lewd Women,Anonymous,,,2009-10-4,2009,,
2,17083.0,Adventures of a Sixpence in Guernsey by A Native,Anonymous,,,2005-11-17,2005,,
3,17270.0,The Interlude of Wealth and Health,Anonymous,,,2012-5-17,2012,,
4,20642.0,The Assemble of Goddes,Anonymous,,,2009-5-10,2009,,
5,23390.0,"The True Life of Betty Ireland: With Her Birth, Education, and Adventures. Together with Some Account of Her Elder Sister Blanch of Britain. Containing Sundry Very Curious Particulars",Anonymous,,,2012-5-12,2012,,
6,24825.0,The Ghost of Chatham; A Vision: Dedicated to the House of Peers,Anonymous,,,2012-5-11,2012,,
10,28521.0,The Power of Mesmerism: A Highly Erotic Narrative of Voluptuous Facts and Fancies,Anonymous,,,2006--,2006,,
11,28522.0,Laura Middleton; Her Brother and her Lover,Anonymous,,,1890--,1890,,
12,29189.0,"A Letter From a Clergyman to his Friend,: with an Account of the Travels of Captain Lemuel Gulliver",Anonymous,,,2012-5-12,2012,,
13,30254.0,The Romance of Lust: A Classic Victorian erotic novel,Anonymous,,,1873--,1873,,
15,33735.0,Pamela Censured,Anonymous,,,2011-3-24,2011,,
18,42289.0,Abbotsford,Anonymous,,,1912--,1912,,
1,25129.0,"Baboo Jabberjee, B.A.","Anstey, F.",1856,1934,1897--,1897,41,37
2,26853.0,"Vice Versa; or, A Lesson to Fathers","Anstey, F.",1856,1934,1882--,1882,26,52
3,27284.0,"The Talking Horse, and Other Tales","Anstey, F.",1856,1934,1892--,1892,36,42
4,27507.0,The Giant's Robe,"Anstey, F.",1856,1934,1883--,1883,27,51
5,28459.0,In Brief Authority,"Anstey, F.",1856,1934,1915--,1915,59,19
6,30689.0,The Brass Bottle,"Anstey, F.",1856,1934,1900--,1900,44,34
7,35305.0,Mr Punch's Pocket Ibsen - A Collection of Some of the Master's Best Known Dramas,"Anstey, F.",1856,1934,1893--,1893,37,41
8,36703.0,"A Bayard From Bengal: Being some account of the Magnificent and Spanking Career of Chunder Bindabun Bhosh,...","Anstey, F.",1856,1934,1902--,1902,46,32
10,37449.0,Puppets at Large: Scenes and Subjects from Mr Punch's Show,"Anstey, F.",1856,1934,1897--,1897,41,37
11,37597.0,Voces Populi,"Anstey, F.",1856,1934,1890--,1890,34,44
12,37685.0,The Brass Bottle: A Farcical Fantastic Play in Four Acts,"Anstey, F.",1856,1934,1900--,1900,44,34
13,37691.0,The Travelling Companions: A Story in Scenes,"Anstey, F.",1856,1934,1892--,1892,36,42
14,38657.0,Love Among the Lions: A Matrimonial Experience,"Anstey, F.",1856,1934,1898--,1898,42,36
15,39045.0,"Mr Punch's Model Music Hall Songs and Dramas: Collected, Improved and Re-arranged from Punch","Anstey, F.",1856,1934,1892--,1892,36,42
16,41589.0,Lyre and Lancet: A Story in Scenes,"Anstey, F.",1856,1934,1895--,1895,39,39
17,46173.0,Tourmalin's Time Cheques,"Anstey, F.",1856,1934,1891--,1891,35,43
0,4982.0,A Rock in the Baltic,"Barr, Robert",1850,1912,1906--,1906,56,6
3,8716.0,The Strong Arm,"Barr, Robert",1850,1912,1899--,1899,49,13
4,9263.0,In the Midst of Alarms,"Barr, Robert",1850,1912,1894--,1894,44,18
5,9300.0,"Jennie Baxter, Journalist","Barr, Robert",1850,1912,1899--,1899,49,13
6,9305.0,"One Day's Courtship, and The Heralds of Fame","Barr, Robert",1850,1912,1896--,1896,46,16
8,9312.0,From Whose Bourne,"Barr, Robert",1850,1912,1893--,1893,43,19
9,9379.0,A Woman Intervenes,"Barr, Robert",1850,1912,1896--,1896,46,16
10,14656.0,The Sword Maker,"Barr, Robert",1850,1912,1910--,1910,60,2
11,19369.0,The Triumphs of Eugène Valmont,"Barr, Robert",1850,1912,1906--,1906,56,6
0,2813.0,The Grand Babylon Hôtel,"Bennett, Arnold",1867,1931,1902--,1902,35,29
1,4734.0,The Grim Smile of the Five Towns,"Bennett, Arnold",1867,1931,1907--,1907,40,24
2,5247.0,The Old Wives' Tale,"Bennett, Arnold",1867,1931,1908--,1908,41,23
3,8405.0,Journalism for Women: A Practical Guide,"Bennett, Arnold",1867,1931,1898--,1898,31,33
4,10658.0,Hilda Lessways,"Bennett, Arnold",1867,1931,1911-1-1,1911,44,20
5,10911.0,Buried Alive: A Tale of These Days,"Bennett, Arnold",1867,1931,1908--,1908,41,23
6,11360.0,Sacred and Profane Love: A Novel in Three Episodes,"Bennett, Arnold",1867,1931,1905-1-1,1905,38,26
8,12654.0,The Roll-Call,"Bennett, Arnold",1867,1931,1918--,1918,51,13
9,12673.0,The Pretty Lady,"Bennett, Arnold",1867,1931,1918--,1918,51,13
10,12687.0,The Title: A Comedy in Three Acts,"Bennett, Arnold",1867,1931,1918--,1918,51,13
11,12773.0,Mr. Prohack,"Bennett, Arnold",1867,1931,1922--,1922,55,9
12,12779.0,Helen with the High Hand (2nd ed.),"Bennett, Arnold",1867,1931,1910--,1910,43,21
13,12794.0,"Judith, a Play in Three Acts; Founded on the Apocryphal Book of Judith","Bennett, Arnold",1867,1931,1919-6-4,1919,52,12
15,12986.0,"The Card, a Story of Adventure in the Five Towns","Bennett, Arnold",1867,1931,1911--,1911,44,20
17,13293.0,Tales of the Five Towns,"Bennett, Arnold",1867,1931,1905--,1905,38,26
19,13894.0,The Great Adventure: A Play of Fancy in Four Acts,"Bennett, Arnold",1867,1931,1913--,1913,46,18
21,14653.0,The Feast of St. Friend,"Bennett, Arnold",1867,1931,1911--,1911,44,20
